State,colonies,Maximum_colonies1,Lost_colonies,Percent_lost2,Added_colonies,Renov_colonies3,Percent_renov4,Year,Qtr,Varroa_mites,Other_parasites,Diseases,Pestticides,Other3,Unknown,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,ESTIMATESBASE2010
GA,108000,110000,13000,12,19500,15500,14,2015,Q3,47.6,16.2,3.6,21.2,8.9,3.6,10178447,10301890,10410330,10511131,10617423,9688729
HI,14500,14500,2700,19,1200,5500,38,2015,Q3,78.1,80.5,0.1,0.1,2.5,0,1422052,1427559,1424393,1420593,1415872,1360307
ID,80000,128000,14000,11,5500,11500,9,2015,Q3,46.8,5.2,1.7,10,2.2,6.4,1651059,1682380,1717715,1750536,1787065,1567657
IL,14000,14000,1400,10,1300,1100,8,2015,Q3,7.7,3,0.6,0.4,3.4,1,12858913,12820527,12778828,12723071,12671821,12831572
IN,15000,15000,1600,11,1400,420,3,2015,Q3,13.7,10.3,4.8,8.2,1,6.2,6608422,6634304,6658078,6695497,6732219,6484051
IA,29000,37000,3000,8,640,680,2,2015,Q3,17.4,5.8,0.1,4.7,5.6,3.4,3120960,3131371,3141550,3148618,3155070,3046871
KS,9000,9500,1000,11,100,160,2,2015,Q3,22.5,16.2,0.2,14.1,14.8,1.7,2909011,2910844,2908718,2911359,2913314,2853123
KY,10000,10000,1300,13,170,550,6,2015,Q3,40.4,11.3,1.2,6.5,9,2,4425976,4438182,4452268,4461153,4467673,4339333
LA,50000,55000,2000,4,2300,1800,3,2015,Q3,25.9,2.3,0,1.6,3,0.2,4664628,4678135,4670560,4659690,4648794,4533487
ME,6000,6000,450,8,410,140,2,2015,Q3,9.9,3.4,13.2,0,2.6,7.8,1328262,1331317,1334612,1339057,1344212,1328358
MD,7000,7500,680,9,730,70,1,2015,Q3,26.9,19.1,2.9,22.8,7.1,2,5985562,6003323,6023868,6035802,6045680,5773794
MA,7500,7500,560,8,290,400,5,2015,Q3,16.3,2.9,0.4,2.1,2.5,0.3,6794228,6823608,6859789,6882635,6892503,6547785
MI,89000,89000,7000,8,3300,3800,4,2015,Q3,44.6,16.3,7.3,13.7,1.8,8.8,9931715,9950571,9973114,9984072,9986857,9884116
MN,133000,136000,32000,24,640,2300,2,2015,Q3,33.3,14.6,7.4,27.4,7,7.2,5482032,5522744,5566230,5606249,5639632,5303927
MS,23000,34000,3500,10,260,110,0,2015,Q3,45.5,2.2,0,1.1,3.8,1.4,2988471,2987938,2988510,2981020,2976149,2968130
MO,14000,14000,1200,9,700,630,5,2015,Q3,11.1,11.7,3,2,2.1,1.4,6071732,6087135,6106670,6121623,6137428,5988950
MT,140000,156000,10500,7,3200,10000,6,2015,Q3,52.5,16.4,10.7,2.3,6.4,5.3,1030475,1040859,1052482,1060665,1068778,989407
NE,67000,77000,6000,8,500,6000,8,2015,Q3,33.2,10.3,10.9,13.2,4.6,4.3,1891277,1905616,1915947,1925614,1934408,1826305
NJ,18500,18500,210,1,190,500,3,2015,Q3,7.2,1,0.1,0,1.1,0.7,8867949,8870827,8885525,8886025,8882190,8791978
NM,6500,6500,1600,25,1300,650,10,2015,Q3,61.2,55,55,58,55.5,0.7,2089291,2091630,2091784,2092741,2096829,2059199
NY,44000,47000,6500,14,4400,7000,15,2015,Q3,40,14.3,5.7,17.1,8.8,1.5,19654666,19633428,19589572,19530351,19453561,19378144
NC,24000,24000,2900,12,2500,1100,5,2015,Q3,33.9,27.9,0.7,7.5,5.7,8.5,10031646,10154788,10268233,10381615,10488084,9535751
ND,460000,500000,93000,19,11000,22000,4,2015,Q3,33.8,15.5,8.1,12.3,4.1,3.7,754066,754434,754942,758080,762062,672576
OH,23000,23000,1900,8,2300,880,4,2015,Q3,30.7,8,0.6,23.4,1.6,1.7,11617527,11634370,11659650,11676341,11689100,11536751
OK,19500,22000,230,1,160,190,1,2015,Q3,1.6,2.3,0.1,0.1,0.6,0.4,3909500,3926331,3931316,3940235,3956971,3751582
OR,68000,100000,8500,9,8000,21000,21,2015,Q3,56,20.8,5.2,3.1,4.8,3.8,4015792,4089976,4143625,4181886,4217737,3831079
PA,25000,25000,1800,7,1800,2400,10,2015,Q3,45.1,11.3,3.7,5.1,7.2,0.8,12784826,12782275,12787641,12800922,12801989,12702868
SC,12000,12000,2000,17,880,580,5,2015,Q3,58.4,31,18.3,14.7,3.9,3,4891938,4957968,5021268,5084156,5148714,4625366
SD,295000,295000,53000,18,2100,13000,4,2015,Q3,22,7.3,2,7.1,1.9,5.7,853988,862996,872868,878698,884659,814198
TN,10000,10000,1200,12,500,350,4,2015,Q3,50.8,38.4,0.5,4.8,2.2,1,6591170,6646010,6708799,6771631,6829174,6346276
TX,76000,136000,16500,12,5500,4800,4,2015,Q3,30.7,26,1.3,19.4,4.7,5.2,27470056,27914410,28295273,28628666,28995881,25146091
UT,31000,36000,8000,22,1400,2200,6,2015,Q3,40.1,25,41.6,33.6,3.6,0.1,2981835,3041868,3101042,3153550,3205958,2763891
VT,6000,6500,40,1,30,20,0,2015,Q3,22.7,0.5,0,0,0.4,0,625216,623657,624344,624358,623989,625737
VA,8000,8000,680,9,520,220,3,2015,Q3,29,14.2,1.3,3.7,3.5,8.9,8361808,8410106,8463587,8501286,8535519,8001049
WA,84000,97000,11500,12,1800,20000,21,2015,Q3,45.6,3.7,2.3,1.4,3.8,0.3,7163657,7294771,7423362,7523869,7614893,6724540
WV,7000,7000,300,4,300,270,4,2015,Q3,21.7,5.3,1,1.5,3,1.1,1842050,1831023,1817004,1804291,1792147,1853018
WI,60000,62000,9000,15,1300,4300,7,2015,Q3,47.3,20.1,8.3,20.9,12.6,13.5,5760940,5772628,5790186,5807406,5822434,5687285
WY,29000,35000,2500,7,270,440,1,2015,Q3,28.5,11,6.4,3.4,2,0.4,585613,584215,578931,577601,578759,563775
AL,8000,8000,610,8,80,60,1,2015,Q4,3.1,6.4,0.2,0.2,2.8,1.9,4852347,4863525,4874486,4887681,4903185,4780125
AZ,36000,39000,12000,31,3000,16000,41,2015,Q4,50.1,1.7,1.1,3.5,0.5,15.5,6829676,6941072,7044008,7158024,7278717,6392288
AR,23000,27000,2400,9,1900,0,0,2015,Q4,38.1,9.7,0.1,8.2,8.5,0.6,2978048,2989918,3001345,3009733,3017804,2916031
CA,750000,1260000,149000,12,39000,75000,6,2015,Q4,37.3,12.7,6.2,11.7,10.5,7.3,38918045,39167117,39358497,39461588,39512223,37254519
CO,24000,24000,2500,10,3400,0,0,2015,Q4,47.6,24.4,21.2,19.7,8.4,1.8,5450623,5539215,5611885,5691287,5758736,5029319
